Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b66a5ef799ce565fb7895b31bcf6f11b7bb0ddd75bb3f794417e786b82fa23ee,2020-01,City of London Police,City of London Police,-0.078250,51.515033,On or near HOUNDSDITCH,E01000005,City of London 001E,Suspect charged
31c9124213679ae3a59be3843d38f88d7d463786eaa629e264b1233b613dc8f8,2020-01,City of London Police,City of London Police,,,No location,,,Local resolution
b41347bdc95e6b62ae7762b0d3d10ef4ac60bc721c3e183458a5163fe1753988,2020-01,City of London Police,City of London Police,,,No location,,,Suspect charged
3db1cdc0c10c64c65b1e24450b271fbd9b3bd7893fa7bac57b9ac85ce43131c5,2020-01,City of London Police,City of London Police,,,No location,,,Suspect charged
6edbb1d6b4481228acf35f703692c8cb71997d70f1102fe49a63056438419b9b,2020-01,City of London Police,City of London Police,,,No location,,,Suspect charged
98fc337f4a95c375de4449a5e3852e069553457144ff6184c927d8ab3e7b0c88,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d5ffd23b84eae627f5152694617371fb985d8c90d7128070f1dac016186afe85,2020-01,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
3d26cca0c0f0450adbba2708fdfad3af9b1dc3e3a200dc92af3c5c1ddc68a0a1,2020-01,City of London Police,City of London Police,-0.090506,51.513524,On or near POULTRY,E01032739,City of London 001F,Investigation complete; no suspect identified
c980a1ebcf76e4112d9b8e103270e20e77f0b7cfd6b1d93e1f368e210655b7e7,2020-01,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
937995d3fdca601527d9f90561f2cf4fa3e70bd0bcc6044defdca35016a9c52e,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
785528b866b8469906f17f779135281b0a39d567bf12a2d9761a91849d396838,2020-01,City of London Police,City of London Police,,,No location,,,Further investigation is not in the public interest
1ad9f2ab2e92f676960f8ae1ebd6adaf0ec973120a0b58d7c08a81c8dcb88530,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ff88706cfcbbb40f18a9e396838f731c30387f240909e18b37da2a1472d2479b,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
90ff57b88fbd6e707a1ba19f2fdf536654aaaeba5bb8bbb15324f0a53e5d5235,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9ae73213e8d7bd5c5802e4edda81893d51ba1fbfbf293a99c0dc8fce94a1f2b4,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8b75105763ec44feb41d4fcdd2531137b362fba6dfbdb57e62b0c6960983c654,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ea7cccd89c53b5e9b96988a3bbe78d8f58d1f9c56422d39fe1de9dac0655c319,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7239150dba80611e6c06153cab32e33566ab4267b18ad050f2d1a5fb9fec2368,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ec8dbcc87672388ef5b7f922ac802c3518eb1cae6656820794a0d7e245519db8,2020-01,City of London Police,City of London Police,-0.095015,51.513220,On or near WATLING STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
e0414be6cc7f8fd5e03ac9e7aea8888590ae331733cd624247d544137fb134a2,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6f9372afda5894701a33cbd86cc5343467d70af3a13d04db88815f59a2cd579a,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7622c7b9285516539fb187769ae5b7abec9b6b6f8a9ce2d5d0f18c5661b35361,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b5e0b3a2f625aa0cfb3175a2ab68d69f3159e1435c6e86bf1b77005167ff5075,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1d29cd38f725a6e472bba662cb0588117274b981ed887039df9b900eaeccec4a,2020-01,City of London Police,City of London Police,-0.095960,51.517534,On or near LONDON WALL,E01000001,City of London 001A,Investigation complete; no suspect identified
e82990d98a37125f4985ce9433e0788e44f9d5fb5189d39f075582003f896d4c,2020-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
