Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
06f6b5ca0e96bd00b0d6d2e8e4729cfa99b2db847063c6f9672701c529910afe,2019-10,City of London Police,City of London Police,-0.108453,51.515173,On or near PEMBERTON ROW,E01032740,City of London 001G,Offender given a drugs possession warning
79267a149cc7640cfc845a610be426a48a354b130592a9781be143026695ac7c,2019-10,City of London Police,City of London Police,,,No location,,,Suspect charged
adcadd9e98acd7c9072c7cfeaee46e5f9e4c08fbd7f7efd71676ccbd29405452,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
db4f960bc1aaef71b4cf91a8d3613e95b87cc68b75c0d55eb63af35f2229101b,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
440eeb264247e8672416cbd312f9382144b74437449d438c50361b8ab27b6d5b,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0b07a6e08dd826e1b6caadff9d54555df066e17f7c061ab50d951ccd50460e6d,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1d7672f074d90f27bfb7ca553227c030b69013a3865f4a7abf128a35399cd706,2019-10,City of London Police,City of London Police,-0.073850,51.509313,On or near MANSELL STREET,E01004293,Tower Hamlets 027B,Suspect charged
7eea43f1864ac235ca209f533ff50fdca8c72eeebd0e14576fa58287e7829908,2019-10,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Offender given a caution
f1a373b7551c35a1a3b5585bf21308436d8ec46ea84357ae081518d129170e24,2019-10,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Local resolution
9d26305d67914c03daf35b9b996bdf7aca415ca33b81189512642b03472bb433,2019-10,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
f4cbb33bab04a71a19a6b5d6fecf38cb62fc9b1e3dd56bdf8faadbd6e5589f7c,2019-10,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given a drugs possession warning
8b2d154a6a65fefd14e8e9665115d7126558023627c5538ea780f2485fd547de,2019-10,City of London Police,City of London Police,-0.092321,51.513194,On or near PANCRAS LANE,E01032739,City of London 001F,Offender given a drugs possession warning
8b9b94b36a508dc303bcf946910ace8b452deb1fc9bbfc68d314b0b4790fec2f,2019-10,City of London Police,City of London Police,-0.092321,51.513194,On or near PANCRAS LANE,E01032739,City of London 001F,Offender given a drugs possession warning
e021f1f3921a08721fdd850bc41bc4f370590b234a5b33f7edd1173bfaf21562,2019-10,City of London Police,City of London Police,-0.101345,51.518709,On or near Parking Area,E01032740,City of London 001G,Offender given a caution
b81b2b7f48d2bce790634a8cd9ff052b28acef7fe300a26611df77e0bba78cf5,2019-10,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
cdccc7b163af7109cfdc4c742aea7d4e6779a2f2454b7ffa9eb3ab0707b2ee56,2019-10,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Suspect charged
6b03ae1ee7088a5854e26806400c994bed675b9c3b4de38d3066689d44886dfb,2019-10,City of London Police,City of London Police,-0.085257,51.511200,On or near TALBOT COURT,E01032739,City of London 001F,Local resolution
260e988ef9998dc1440372a607c840e4c1234da5d87ee6b19b6fd7e3ed3efb22,2019-10,City of London Police,City of London Police,-0.059878,51.518660,On or near Hospital,E01004322,Tower Hamlets 017A,Suspect charged
10ec7440c9e081cbf1e6133c39561a3cf9677ad7736d663d3df96e0ce416364b,2019-10,City of London Police,City of London Police,-0.093493,51.513447,On or near BOW LANE,E01032739,City of London 001F,Offender given a drugs possession warning
67029319872dd75ad94d5c12ade90e8bfa68f83ba588f4a7ba92d27fb8411f33,2019-10,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
dca0b75774845b717e967c6f70a542c324be6fcd6053ec3012326c0e7546e874,2019-10,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Suspect charged
03999cb915c54b5f152873fc253388b8f1e2da29d49a6b5ce779c42acb8b88bc,2019-10,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Suspect charged
ea4a3dedf66698a5998f8ec0b2c2f264375afb0737f070bd5af5d064a6592dd4,2019-10,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
fd8222f188f5a62270773f006b9fa2b1aac9ed9ed31f6591b2f97103b61a810e,2019-10,City of London Police,City of London Police,-0.083417,51.513148,On or near WHITTINGTON AVENUE,E01032739,City of London 001F,Suspect charged
150edf689f4082ba6f2325e6b79b2026dadf3a42506542b1bbe7240a69a66900,2019-10,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Offender given a caution
04dcdcae10f82bf2eb0da02f67008a719f86080f8086f4fbdf1c7c1b582ba2b9,2019-10,City of London Police,City of London Police,-0.083242,51.512165,On or near LIME STREET,E01032739,City of London 001F,Suspect charged
6411b4b0370ec9f8001798212e62d19991e0e652b6d4ef0c2fdb59d4b62e889b,2019-10,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
c2c5fbab0839df4345d6a64132fab51d21b29869b98e03ac8a1d83ab8615d681,2019-10,City of London Police,City of London Police,-0.101452,51.512650,On or near ST ANDREW'S HILL,E01032739,City of London 001F,Offender given a caution
c3b58ac4b31f4ac6db8b3f6ac434e2630fa4a551d07fdcff1dbed59f9747beef,2019-10,City of London Police,City of London Police,-0.093215,51.510421,On or near QUEEN STREET PLACE,E01032739,City of London 001F,Suspect charged
cfc506f541ce3d547e56e28e56edae908c7248e9aac77df108180ddb3740876e,2019-10,City of London Police,City of London Police,-0.079448,51.511554,On or near FENCHURCH PLACE,E01032739,City of London 001F,Offender given a caution
f19f6d03f87bf1c1098dfbbfd5834f482f18812905159e89fdfd60fef96c19b8,2019-10,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Offender given a caution
f8ce6c695ba6d4b38a610b6f9465a1f3bd2b1493647503b8f3c53da018e4e968,2019-10,City of London Police,City of London Police,-0.083618,51.517288,On or near BROAD STREET AVENUE,E01032739,City of London 001F,Suspect charged
577aae03c4619683edb6c77364f1fadc44e3d05b64c04c282b3dc4cdaafe518c,2019-10,City of London Police,City of London Police,-0.100748,51.515031,On or near WARWICK LANE,E01032739,City of London 001F,Suspect charged
577aae03c4619683edb6c77364f1fadc44e3d05b64c04c282b3dc4cdaafe518c,2019-10,City of London Police,City of London Police,-0.100748,51.515031,On or near WARWICK LANE,E01032739,City of London 001F,Suspect charged
600ee4fa2c2ce4cd9a169d4ceeee0519b01c21df78b4a468b1c9fef61f2857dc,2019-10,City of London Police,City of London Police,,,No location,,,Suspect charged
