lon,lat,amenity
-0.1458705,51.5412,bar
-0.1717297,51.30525,post_box
-0.1302097,51.50716,parking
-0.1312249,51.509567,cinema
0.3037087,51.498062,pub
-0.1306078,51.512657,cinema
-0.1307587,51.51651,pub
-0.1972458,51.43649,place_of_worship
-0.1911938,51.444,place_of_worship
-0.1060151,51.530605,post_box
-0.0999515,51.52093,post_box
-0.0991614,51.520454,telephone
-0.0996753,51.522793,university
-0.1885334,51.515972,toilets
-0.1881212,51.51597,telephone
-0.1897583,51.515705,telephone
-0.1325596,51.511055,restaurant
-0.1295014,51.512356,parking
-0.1542069,51.29334,fuel
-0.142835,51.515343,parking
0.4055232,51.52437,community_centre
-0.4783857,51.54672,bus_station
-0.0813261,51.54278,post_box
-0.4799811,51.54594,pub
-0.4800154,51.54546,pub
-0.4802997,51.545567,pub
-0.4806061,51.54765,pub
-0.4785907,51.545513,pub
-0.4792492,51.546375,fast_food
-0.0854123,51.66308,pub
-0.0593586,51.678173,pub
-0.0770974,51.681362,pub
-0.044651,51.445538,pub
-0.0450111,51.442886,fire_station
-0.044571,51.442898,place_of_worship
-0.0422965,51.443207,pub
-0.0309879,51.454784,place_of_worship
0.4169806,51.625168,post_office
-0.1034131,51.54326,pub
-0.1618602,51.52341,pub
-0.0312942,51.440174,place_of_worship
-0.1556689,51.37972,post_office
-0.182579,51.585682,post_office
-0.300114,51.446354,post_box
-0.299238,51.465565,pub
-0.148007,51.439728,telephone
0.3319282,51.486584,post_box
-0.190692,51.536217,parking_entrance
-0.083777,51.671207,pub
-0.0874147,51.656506,pub
-0.063099,51.649918,pub
0.2079489,51.577747,pub
0.2107384,51.57558,post_box
-0.0818517,51.578346,pub
0.2030603,51.57436,doctors
0.2100511,51.571747,post_box
-0.3253646,51.389492,restaurant
-0.3051555,51.511684,pub
-0.3095337,51.511616,theatre
-0.1255045,51.56737,post_box
-0.123722,51.566284,post_box
-0.1217505,51.564636,pub
-0.1200983,51.56253,post_box
-0.1167294,51.561623,fuel
-0.1158818,51.55992,telephone
0.2564652,51.49846,pub
0.0258347,51.600048,post_box
-0.3052313,51.510296,pub
-0.3050181,51.50802,pub
-0.3053344,51.506187,pub
-0.3001489,51.50817,post_box
-0.302661,51.51484,pub
-0.3018562,51.51387,pub
-0.299932,51.516922,pub
-0.3000951,51.51683,pub
-0.297341,51.51355,post_box
0.3384713,51.47621,pub
-0.1833426,51.477673,pub
0.3535473,51.58359,toilets
0.1278944,51.35723,telephone
-0.0441016,51.520092,post_box
-0.155855,51.498444,pub
0.389575,51.47658,pub
-0.0501643,51.525833,pub
0.369999,51.512505,pub
0.4181661,51.551277,parking
0.3528991,51.50759,pub
-0.0740381,51.462566,post_box
-0.0803069,51.461735,post_box
0.3896688,51.57796,restaurant
0.3784179,51.515972,restaurant
-0.1225308,51.52123,pub
0.4159555,51.61858,restaurant
-0.1046279,51.53169,motorcycle_parking
-0.1774031,51.694843,post_office
-0.1902719,51.699654,pub
-0.3044842,51.491543,fuel
-0.0688824,51.464302,post_box
-0.0726048,51.467506,telephone
-0.0729029,51.46424,post_box
0.3670621,51.510525,doctors
-0.1662628,51.516743,parking
-0.1638537,51.51501,parking
0.0141791,51.464603,post_box
-0.099832,51.453,post_box
-0.1006667,51.451107,post_box
-0.1049974,51.44433,post_box
-0.1059092,51.4416,post_box
-0.0946659,51.453064,post_box
-0.0826723,51.457718,post_box
-0.0772943,51.459435,post_box
0.3404199,51.488777,pub
-0.0808535,51.458527,telephone
-0.0837757,51.455524,telephone
-0.094094,51.45306,telephone
-0.1049397,51.44652,telephone
-0.1051929,51.44,cafe
-0.0133254,51.47782,bicycle_parking
-0.0125153,51.477924,post_box
-0.0095122,51.480785,bicycle_parking
-0.3788376,51.418404,post_box
-0.3786363,51.422077,telephone
-0.3761048,51.420483,post_box
-0.371483,51.41876,post_box
-0.0043454,51.335697,bicycle_parking
-0.0043184,51.335682,post_box
-0.278874,51.46038,post_box
-0.2723829,51.45717,post_box
-0.2677641,51.456974,post_box
-0.2680144,51.458317,post_box
-0.2699766,51.461304,post_box
-0.266239,51.45804,post_box
-0.2637534,51.460262,post_box
-0.2601231,51.46082,post_box
-0.2926561,51.466396,bicycle_parking
-0.3005302,51.474945,toilets
-0.2929619,51.472836,toilets
-0.2790301,51.466076,post_box
-0.2787286,51.420254,post_box
-0.2746156,51.424774,post_box
-0.2901614,51.42344,post_box
-0.2875532,51.419502,pub
-0.2577999,51.435036,post_office
-0.2982274,51.426556,pub
