Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7f944eaa776a6899701f45ffa05bccf1073010413bdb2867b3fa2bcc3e1f80ef,2020-02,City of London Police,City of London Police,,,No location,,,Suspect charged
f4e75526f93f7c28f9b320aed205ec9325becde2d5a40f29966d293efbecf7f1,2020-02,City of London Police,City of London Police,,,No location,,,Offender given a caution
a0c8f00bffd34d73ee5895eb3dc0e13ac42f861960f07f5227f81adf05641d9b,2020-02,City of London Police,City of London Police,,,No location,,,Offender given a caution
198ffc04d774ab369891aade3680e3eb6a7351ddceb589162c02f4dc7e50bc17,2020-02,City of London Police,City of London Police,,,No location,,,Offender given a caution
11a15632d2de5ad7d5629e0ed265aa06c801048aac2d5f7dba01964ffc652063,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
50c3d905ca5dfedd897e651875bb5bbfac4f5ade60223896cdb51b774a9f23b3,2020-02,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
ca109136525fb40a61c7a5d4398ac343baad02fa7c9c6d208ec02f33a0dff3e9,2020-02,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
241992f00ee65e9a5574f32b01b3875e1860228b910e201bd461420b526f552e,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
daabf74598d41568679de0222cd9c9b3a8b2550b83b18a144b70f570d803db0a,2020-02,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
ef4d72ef79c867d946c82dd8534b2ecc394c9fd629534456cdbafb37a91ab365,2020-02,City of London Police,City of London Police,-0.090506,51.513524,On or near POULTRY,E01032739,City of London 001F,Investigation complete; no suspect identified
c9a9cbbf3842711c51ceafd35102a0d1f3cbe1d25d7d688afe493d6727dc9325,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
bb42cac3a457628b3dceee5a7c8ad24a03bc2b8dabd76da8234b974e841a2b67,2020-02,City of London Police,City of London Police,,,No location,,,Formal action is not in the public interest
d6781ccb709b03322da3a2c8a36205b7eb8f3ad12dec968d314fa0becdf889fc,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
30f13ad1db7fcb8e543b94f9717f4aa4f9d790be742fce2a7ad9601442b5865b,2020-02,City of London Police,City of London Police,,,No location,,,Further investigation is not in the public interest
9c9480eb9c6b12130d6bc2a70d6ec4c494983f34bdcd4b33466a5abdc68af867,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
aef52e66dbe58ad0e60217701157721319404ed1e26cab34443506be1b48f600,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0c375bfad655771e0c5f925cc38d808e0e76196206d66f431a08fe7c179768fd,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
db391c7897d213fa0ca5acb7be717bb30e7dcd8f274fa589bf5e1c63ca923e3d,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f4fef7b63dbb34e875519c3fa59b14b69889c7efaf9f08e0ad11f1d65b64495d,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c12587cc5f09100e5e9fa16d4f7e030cf6c9cce8c800d831a697263da2f16f12,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
837b6c0357fa30de2a43f6bf7208166817a6a7f0b4d33edd08f87c1e12beb8fe,2020-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
24411b9e3d6e77b411dfc0857c397a64312951f32ab8a93ad6c2e659677a00d8,2020-02,City of London Police,City of London Police,-0.081540,51.510806,On or near MINCING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
db1a100fb9b3a55ada83508ab8b626df5e3997669c623427b2e8d710162e58a9,2020-02,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Investigation complete; no suspect identified
5b1aa8d18a6d80fea090afb4e8029023c992f25ae065bb4920948f7a4684cb2a,2020-02,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Unable to prosecute suspect
